id,user_id,date,amount,description,category,type,status,account_type,ml_category,confidence_score,created_at,updated_at
a5ebb78a-b1a7-410d-bc98-49b7b7771300,550e8400-e29b-41d4-a716-446655440000,2024-04-03,9.87,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
05ff8895-4917-4048-bfcb-175789e3ee6e,550e8400-e29b-41d4-a716-446655440000,2024-04-03,8.97,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
3ad0cd38-8ea5-494e-8340-c745188ad73a,550e8400-e29b-41d4-a716-446655440000,2024-04-03,8.93,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
e437e7b9-55f8-499b-ac9e-8bd10196ef19,550e8400-e29b-41d4-a716-446655440000,2024-04-03,1.81,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
767240cf-9a39-445f-a01b-1bbfeec799e5,550e8400-e29b-41d4-a716-446655440000,2024-04-03,5.07,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
ff994dfa-b5b4-461a-a575-9940cb429884,550e8400-e29b-41d4-a716-446655440000,2024-04-03,7.81,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
482fc91b-495f-4c56-8c61-be222d39820f,550e8400-e29b-41d4-a716-446655440000,2024-04-03,6.96,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
105b4408-90bc-4b2d-ac81-0ddb30ddc290,550e8400-e29b-41d4-a716-446655440000,2024-04-02,-12.33,Miscellaneous Expense,misc,expense,posted,checking,,,2025-06-22T20:06:38.989748+00:00,2025-06-22T20:06:38.989748+00:00
66302b0a-4fd3-4645-9559-ebc2627d3a4e,550e8400-e29b-41d4-a716-446655440000,2024-04-02,-4.06,Miscellaneous Expense,misc,expense,posted,checking,,,2025-06-22T20:06:38.989748+00:00,2025-06-22T20:06:38.989748+00:00
7b953f52-a95d-4d98-9a22-f1b2edc31a7d,550e8400-e29b-41d4-a716-446655440000,2024-04-02,-5.34,Miscellaneous Expense,misc,expense,posted,checking,,,2025-06-22T20:06:38.989748+00:00,2025-06-22T20:06:38.989748+00:00
a0902a71-3358-404f-a180-fcb097e5011b,550e8400-e29b-41d4-a716-446655440000,2024-04-02,-9.42,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
20963079-df38-4ca6-815a-1a461c0bf97a,550e8400-e29b-41d4-a716-446655440000,2024-04-02,-9.05,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
ba2fae4d-e404-485c-912e-6d1d849a7a1e,550e8400-e29b-41d4-a716-446655440000,2024-04-02,0.96,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
b0623e33-241f-4d1c-8054-02f064122c28,550e8400-e29b-41d4-a716-446655440000,2024-04-02,-8.77,Miscellaneous Sale,misc,income,posted,checking,,,2025-06-22T20:06:41.856198+00:00,2025-06-22T20:06:41.856198+00:00
