date,amount,type,category,description,frequency
2024-01-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-02-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-03-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-01-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-02-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-03-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-01-05,100,EXPENSE,UTILITIES,Electricity Bill,MONTHLY
2024-02-05,800,EXPENSE,UTILITIES,High Electricity Bill (Heating),MONTHLY
2024-03-05,100,EXPENSE,UTILITIES,Electricity Bill,MONTHLY
2024-01-10,50,EXPENSE,GROCERIES,Regular Groceries,MONTHLY
2024-02-10,50,EXPENSE,GROCERIES,Regular Groceries,MONTHLY
2024-03-10,50,EXPENSE,GROCERIES,Regular Groceries,MONTHLY
2024-01-20,0,EXPENSE,HEALTHCARE,Regular Checkup,MONTHLY
2024-02-20,2000,EXPENSE,HEALTHCARE,Emergency Room Visit,ONE_TIME
2024-03-20,0,EXPENSE,HEALTHCARE,Regular Checkup,MONTHLY
2024-01-25,100,EXPENSE,TRANSPORTATION,Regular Transportation,MONTHLY
2024-02-25,100,EXPENSE,TRANSPORTATION,Regular Transportation,MONTHLY
2024-03-25,100,EXPENSE,TRANSPORTATION,Regular Transportation,MONTHLY 
