date,amount,type,category,description,frequency
2024-01-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-02-15,10000,INCOME,SALARY,Double Salary (Bonus),ONE_TIME
2024-02-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-03-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-01-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-02-01,0,EXPENSE,RENT,Missed Rent Payment,ONE_TIME
2024-03-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-01-05,100,EXPENSE,UTILITIES,Electricity Bill,MONTHLY
2024-02-05,100,EXPENSE,UTILITIES,Electricity Bill,MONTHLY
2024-03-05,100,EXPENSE,UTILITIES,Electricity Bill,MONTHLY
2024-01-10,2000,EXPENSE,ENTERTAINMENT,New Gaming PC,ONE_TIME
2024-02-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-03-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY 
