date,amount,type,category,description,frequency
2024-01-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-02-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-03-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-04-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-05-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-06-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-07-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-08-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-09-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-10-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-11-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-12-15,5000,INCOME,SALARY,Monthly Salary,MONTHLY
2024-01-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-02-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-03-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-04-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-05-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-06-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-07-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-08-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-09-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-10-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-11-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-12-01,2000,EXPENSE,RENT,Monthly Rent,MONTHLY
2024-01-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-02-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-03-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-04-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-05-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-06-10,200,EXPENSE,ENTERTAINMENT,Summer Activities,MONTHLY
2024-07-10,200,EXPENSE,ENTERTAINMENT,Summer Activities,MONTHLY
2024-08-10,200,EXPENSE,ENTERTAINMENT,Summer Activities,MONTHLY
2024-09-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-10-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-11-10,50,EXPENSE,ENTERTAINMENT,Regular Entertainment,MONTHLY
2024-12-10,500,EXPENSE,ENTERTAINMENT,Holiday Gifts and Parties,MONTHLY
2024-12-20,300,EXPENSE,ENTERTAINMENT,Holiday Gifts and Parties,MONTHLY 
