date,amount,type,category,description,frequency
2023-01-01,1000,income,salary,Monthly Salary,monthly
2023-01-15,500,expense,rent,Rent Payment,monthly
2023-01-20,200,expense,utilities,Electricity Bill,monthly
2023-02-01,1000,income,salary,Monthly Salary,monthly
2023-02-15,500,expense,rent,Rent Payment,monthly
2023-02-20,200,expense,utilities,Electricity Bill,monthly
2023-03-01,1000,income,salary,Monthly Salary,monthly
2023-03-15,500,expense,rent,Rent Payment,monthly
2023-03-20,200,expense,utilities,Electricity Bill,monthly
2023-04-01,1000,income,salary,Monthly Salary,monthly
2023-04-15,500,expense,rent,Rent Payment,monthly
2023-04-20,200,expense,utilities,Electricity Bill,monthly
2023-05-01,1000,income,salary,Monthly Salary,monthly
2023-05-15,500,expense,rent,Rent Payment,monthly
2023-05-20,200,expense,utilities,Electricity Bill,monthly
2023-06-01,1000,income,salary,Monthly Salary,monthly
2023-06-15,500,expense,rent,Rent Payment,monthly
2023-06-20,200,expense,utilities,Electricity Bill,monthly
2023-07-01,1000,income,salary,Monthly Salary,monthly
2023-07-15,500,expense,rent,Rent Payment,monthly
2023-07-20,200,expense,utilities,Electricity Bill,monthly
2023-08-01,1000,income,salary,Monthly Salary,monthly
2023-08-15,500,expense,rent,Rent Payment,monthly
2023-08-20,200,expense,utilities,Electricity Bill,monthly
2023-09-01,1000,income,salary,Monthly Salary,monthly
2023-09-15,500,expense,rent,Rent Payment,monthly
2023-09-20,200,expense,utilities,Electricity Bill,monthly
2023-10-01,1000,income,salary,Monthly Salary,monthly
2023-10-15,500,expense,rent,Rent Payment,monthly
2023-10-20,200,expense,utilities,Electricity Bill,monthly
2023-11-01,1000,income,salary,Monthly Salary,monthly
2023-11-15,500,expense,rent,Rent Payment,monthly
2023-11-20,200,expense,utilities,Electricity Bill,monthly
2023-12-01,1000,income,salary,Monthly Salary,monthly
2023-12-15,500,expense,rent,Rent Payment,monthly
2023-12-20,200,expense,utilities,Electricity Bill,monthly 
